Suburb,HouseMedianPrice,HouseMedianPrice2Br,HouseMedianPrice3Br,HouseMedianPrice4Br,UnitMedianPrice,UnitMedianPrice1Br,UnitMedianPrice2Br,UnitMedianPrice3Br,HouseMedianRent,HouseMedianRent2Br,HouseMedianRent3Br,HouseMedianRent4Br,UnitMedianRent,UnitMedianRent1Br,UnitMedianRent2Br,UnitMedianRent3Br,House2BrSoldThisYear,House3BrSoldThisYear,House4BrSoldThisYear,Unit1BrSoldThisYear,Unit2BrSoldThisYear,Unit3BrSoldThisYear,House2BrDaysOnMarket,House3BrDaysOnMarket,House4BrDaysOnMarket,Unit1BrDaysOnMarket,Unit2BrDaysOnMarket,Unit3BrDaysOnMarket,House2BrClearanceRate,House3BrClearanceRate,House4BrClearanceRate,Unit1BrClearanceRate,Unit2BrClearanceRate,Unit3BrClearanceRate,VisitsPerProperty,StateVisitsPerProperty,PriceDataUpdateDate,RentDataUpdateDate
Ashfield,0,930000,1482000,1755000,0,511000,690000,833000,0,560,700,875,0,420,500,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001-01-01,0001-01-01
Five Dock,0,1312500,1622500,2007500,0,0,830000,1155000,0,605,780,933,0,500,583,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001-01-01,0001-01-01
Neutral Bay,0,0,2280000,0,0,608000,1040000,1755000,0,795,1100,1525,0,480,648,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001-01-01,0001-01-01
Manly,0,0,2500000,3380000,0,776250,1400000,1880000,0,850,1275,1800,0,600,800,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001-01-01,0001-01-01
Maroubra,0,1492000,1730000,2232500,0,660000,865000,1097500,0,700,900,1250,0,520,630,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001-01-01,0001-01-01
